,user_id,X,pr_value
89, 7611440227790274560,1978,7.91188778294764e-06
90, 7138340101102947328,1984,7.89604612510446e-06
91, 5664182039720026112,1986,7.89356615192038e-06
92,-5770032558394844160,1987,7.89281136821343e-06
93, 1763362939087313920,1988,7.89180697142446e-06
94, 1686492957788444416,1989,7.8857883923e-06
95, 8875214812575148032,1990,7.88449028739843e-06
96, 6825831488957256704,1991,7.88216427652128e-06
97,-7135741414692648960,1992,7.88185275166892e-06
98,-7556671102114953216,1996,7.87820713250961e-06
99,-5465358817035934720,1999,7.87481565942508e-06
100,-8373708293938798592,2000,7.87399153626651e-06
101, 4403305985844079616,2001,7.8712720844549e-06
102,  -99882858913107104,2006,7.85588698890538e-06
103,-2074190332424527616,2007,7.85542912939937e-06
104,-8819617514819177472,2016,7.84571495697189e-06
105, 1390969829600590336,2020,7.84003558149756e-06
106, 4259659661886034944,2023,7.83582481290345e-06
107,-8124608525554184192,2024,7.83549274332663e-06
108,-7415349375077560320,2025,7.83346624232535e-06
109, 3505676103448284672,2028,7.83081854582919e-06
110,-3408592790615634944,2029,7.82970018247051e-06
111,-3576299671647760896,2034,7.81444128733615e-06
112,   21346019117100320,2035,7.81250528268343e-06
113,-6049711227662915584,2040,7.8057070382519e-06
114,-3528404171057459712,2045,7.79699835512209e-06
115,-1343920196034285056,2046,7.79695227530434e-06
116, 2873741795150681600,2048,7.78876761717381e-06
117,-1875879060091507712,2052,7.78204446112418e-06
118, 6134372294067733504,2053,7.78060616170443e-06
119,-5522363064949970944,2055,7.77922967543459e-06
120, 6336646403896420352,2057,7.77019953079031e-06
121,-8221440529090515968,2060,7.76116134096455e-06
122,  734802048432441728,2062,7.75787384299406e-06
123, 4039260787366615040,2065,7.74841940448049e-06
124,-4383555856891453952,2070,7.73884403480561e-06
125,-9132919867721785344,2079,7.72377877850113e-06
126,-4605253426349749760,2080,7.71713861678755e-06
127,-3022750006071461888,2085,7.70960100328569e-06
128,-3780697906918093824,2088,7.69369728211597e-06
129,-1897238584643942656,2089,7.69271818625164e-06
130,-4315924211800220160,2092,7.6906472542544e-06
131, 7893065634535558144,2095,7.68482229894813e-06
132,-4653182776531921920,2099,7.67798054454351e-06
133,-6735709417293010944,2100,7.6776879000221e-06
134,-4927112112099350528,2101,7.67747895037251e-06
135,-3536562683090403840,2103,7.67080653763718e-06
136, 3582541668612587008,2107,7.65854342691505e-06
137, 4060029645027762688,2108,7.65792356871708e-06
138, 1221422366192372736,2109,7.65686986825171e-06
139, 2562435840989452288,2112,7.64676730140882e-06
140,-6210253584124439552,2114,7.64273743421134e-06
141, 6096373085546256384,2117,7.64002958007608e-06
142, -860364297161934080,2122,7.63379337198682e-06
143, 7347876245675653120,2124,7.62776848577123e-06
144, 5752113593076762624,2127,7.62418921141383e-06
145, 5327624777829640192,2129,7.62377806390323e-06
146, 4369175554129215488,2133,7.62155884631654e-06
147,-1769386879329371904,2134,7.6215474702716e-06
148, 1788414904761048832,2135,7.62010170163398e-06
149,-2803031956890080768,2140,7.61633896589212e-06
150,-2997254455391228928,2141,7.61630031880037e-06
151, 3871075757950436352,2145,7.61267006649296e-06
152,-2654050159415581184,2149,7.60403666102546e-06
153,  169962002445956896,2150,7.60365003855482e-06
154,  -16086840528948568,2151,7.60250985242823e-06
155,-5243561069080690688,2153,7.59695140327257e-06
156,-8133491830722861056,2155,7.59430914383031e-06
157,-6114172252646539264,2157,7.5906700924848e-06
158,-6686662914451207168,2161,7.58638499988711e-06
159,-4262659410538667520,2162,7.58613586999041e-06
160, 4601124978300670464,2163,7.5856229618187e-06
161, 5544038145943179264,2164,7.58557438834183e-06
162,-5296299462676364288,2166,7.57962733688976e-06
163, 2605340933345061888,2169,7.57276486122156e-06
164,  542699558280309056,2170,7.57242016687553e-06
165,-6097529616104406016,2171,7.57182767919955e-06
166,-8588582706516025344,2173,7.56957020350285e-06
167, -615504026927719552,2176,7.56324901418894e-06
168,-7081525849868103680,2178,7.56199390956835e-06
169, 3237760393570058240,2180,7.55742496915175e-06
170,-3734193939933444608,2181,7.55716463269697e-06
171,-4540807696994354688,2182,7.55696589123662e-06
172,-2014632387546219008,2188,7.54808326261132e-06
173,-4141390956361214976,2195,7.53630225592707e-06
174,-5149210126153443328,2198,7.52303859581088e-06
175, 1268779747681392896,2199,7.52271583004095e-06
176, 6639544530614254592,2203,7.51995679089979e-06
177, 6695933443456891904,2208,7.51036538098048e-06
178,-1577469621409200384,2211,7.50844161362339e-06
179,  863039861133740672,2214,7.50510672733009e-06
